,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
49,srm,ConfDF_norm_v2_all,df40-fs-ff,32,,14.548600435256958,0.8311587655895691,0.8585600907029478
50,i3d,ConfDF_norm_v2_all,df40-fr-ff,32,32.0,4.546986818313599,0.5623477786176199,0.5751133786848073
51,core,ConfDF_norm_v2_all,ff-orig,32,,6.332730531692505,0.9719681166737529,0.985827664399093
52,f3net,ConfDF_norm_v2_all,ff-orig,32,,6.827454566955566,0.9302408300559807,0.9520975056689343
53,rfm,ConfDF_norm_v2_all,df40-fr-ff,32,,6.3024208545684814,0.6684819435586735,0.6731859410430838
54,spsl,ConfDF_norm_v2_all,ff-orig,32,,6.347466707229614,0.9323030156072845,0.9552154195011338
55,recce,ConfDF_norm_v2_all,df40-fs-ff,32,,12.930702686309814,0.8018898477359695,0.8339002267573696
56,ucf,ConfDF_norm_v2_all,ff-orig,32,,10.913564682006836,0.9643161626629819,0.9781746031746033
57,xception,ConfDF_norm_v2_all,df40-all-ff,32,,6.06122612953186,0.8028055134814341,0.7967687074829931
58,clip_large,ConfDF_norm_v2_all,df40-fr-ff,8,,12.51113247871399,0.8632546768707482,0.8874716553287982
59,rfm,ConfDF_norm_v2_all,df40-fs-ff,32,,6.3172619342803955,0.887557187588577,0.9067460317460316
60,xception,ConfDF_norm_v2_all,df40-fr-ff,32,,6.0772669315338135,0.6630541051055839,0.6913265306122449
61,efficientnetb4,ConfDF_norm_v2_all,ff-orig,32,,9.79306149482727,0.9305882183602608,0.947562358276644
62,clip_large,ConfDF_norm_v2_all,df40-all-ff,8,,12.492686986923218,0.9393955498866213,0.9430272108843538
63,i3d,ConfDF_norm_v2_all,df40-all-ff,32,32.0,4.892134189605713,0.5488613140729542,0.560374149659864
64,recce,ConfDF_norm_v2_th-m,df40-fs-ff,32,,3.6489181518554688,0.7318749999999998,0.7900000000000001
65,i3d,ConfDF_norm_v2_th-m,df40-fr-ff,32,32.0,1.8058645725250244,0.5682098765432099,0.59
66,spsl,ConfDF_norm_v2_th-m,ff-orig,32,,2.107330799102783,0.916484375,0.93
67,srm,ConfDF_norm_v2_th-m,df40-fs-ff,32,,4.1515161991119385,0.8654296875,0.89
68,srm,ConfDF_norm_v2_th-m,df40-fr-ff,32,,4.186718940734863,0.837685546875,0.8600000000000001
69,f3net,ConfDF_norm_v2_th-m,ff-orig,32,,2.3817970752716064,0.91173828125,0.9299999999999999
70,clip_large,ConfDF_norm_v2_th-m,df40-all-ff,8,,3.4972832202911377,0.9964062499999999,1.0
71,spsl,ConfDF_norm_v2_th-m,df40-fr-ff,32,,2.162709951400757,0.628564453125,0.69
72,ucf,ConfDF_norm_v2_th-m,ff-orig,32,,3.1999166011810303,0.9493652343749999,0.9600000000000001
